epbc_name,epbc_cat,appendix,rl_grp_mod,tot_exp_vol_5yrs,avg_exp_5yr,max_peryr_5yrs,min_peryr_5yrs
Thunnus maccoyii,Conservation Dependent,NA,Endangered,18715.36796127372,3743.073592254744,4451.9048092467665,2906.6061378296195
Haliotis,NA,NA,threatened_grp,13457.757068847848,2691.5514137695695,3093.170182852619,2070.177966052483
Thunnus obesus,NA,NA,Vulnerable,2010.3095981029687,402.0619196205937,858.1577485814485,198.83258842235693
Haliotis rubra,NA,NA,Vulnerable,1547.4544071125424,309.49088142250844,359.83674703347805,238.70917377637625
Hoplostethus atlanticus,Conservation Dependent,NA,Not Assessed,716.7597011934133,143.35194023868266,200.46089326562452,105.30565675912132
Galeorhinus galeus,Conservation Dependent,NA,Critically Endangered,256.44445909831865,51.28889181966373,64.70115962580311,40.08929755003543
Pomatomus saltatrix,NA,NA,Vulnerable,69.76465585487891,13.952931170975782,17.566011853566817,9.405340521949642
Seriolella brama,Conservation Dependent,NA,Not Assessed,27.093599531379724,5.418719906275944,13.816131612713587,0.42901580792095606
Carcharhinus amboinensis,NA,II,Vulnerable,3.525525536932204,3.525525536932204,3.525525536932204,3.525525536932204
Carcharhinus sorrah,NA,II,Near Threatened,6.165116229215724,3.082558114607862,4.372072898476251,1.793043330739473
Bathyraja irrasa,NA,NA,Vulnerable,2.322041941355212,0.580510485338803,1.322001610585713,0.125283256761311
Eusphyra blochii,NA,II,Endangered,1.036544174751842,0.518272087375921,0.929113711248449,0.107430463503393
Rhizoprionodon acutus,NA,II,Vulnerable,0.111656711486142,0.111656711486142,0.111656711486142,0.111656711486142
